Date and Time of initial call,Borough,Property,Species Description,Species Status,Animal Class,# of Animals
06/12/2019 09:20:00 AM,Manhattan,Washington Square Park,Red-Tailed Hawk,Native,Raptors,1.0
06/11/2019 04:15:00 PM,Bronx,Van Cortlandt Park,Canada Goose,Native,Birds,1.0
06/10/2019 01:00:00 PM,Brooklyn,Irving Square Park,Parrot,Exotic,Domestic,1.0
06/09/2019 09:30:00 AM,Brooklyn,Parade Ground,Chicken,Domestic,Domestic,1.0
06/09/2019 12:50:00 PM,Staten Island,Silver Lake Park,Red-Eared Slider,Invasive,Terrestrial Reptile or Amphibian,2.0
06/08/2019 11:00:00 AM,Manhattan,Washington Square Park,Rd-Tailed Hawk,Native,Raptors,1.0
06/08/2019 08:44:00 AM,Manhattan,Tompkins Square Park,Red-Tailed Hawk,Native,Raptors,1.0
06/06/2019 10:00:00 AM,Manhattan,Tompkins Square Park,Red-Tailed Hawk,Native,Raptors,1.0
06/07/2019 03:15:00 PM,Queens,Flushing Meadows Corona Park,Cormorant,Native,Birds,1.0
06/07/2019 03:15:00 PM,Queens,Flushing Meadows Corona Park,Cormorant,Native,Birds,1.0
06/07/2019 04:30:00 PM,Queens,Harvey Park,Raccoon,Native,Small Mammals-RVS,0.0
06/06/2019 03:30:00 PM,Manhattan,Robert Bendheim Playground,Red-Eared Slider,Invasive,Terrestrial Reptile or Amphibian,1.0
06/06/2019 10:00:00 AM,Bronx,851 Fairmont Pl,Rooster,Domestic,Birds,3.0
06/05/2019 02:15:00 PM,Queens,Rockaway Beach and Boardwalk,Dove,Native,Birds,1.0
06/05/2019 11:00:00 AM,Brooklyn,Dyker Beach Park,Raccoon,Native,Small Mammals-RVS,1.0
06/05/2019 10:00:00 AM,Manhattan,Central Park,Raccoon,Native,Small Mammals-RVS,1.0
06/02/2019 05:15:00 PM,Staten Island,LaTourette Park & Golf Course,Snapping Turtle,Native,Terrestrial Reptile or Amphibian,1.0
06/04/2019 12:30:00 PM,Manhattan,Central Park,Raccoon,Native,Small Mammals-RVS,1.0
06/04/2019 10:30:00 AM,Manhattan,Central Park,Monk Parakeet,Other,Birds,1.0
06/02/2019 12:00:00 PM,Bronx,Van Cortlandt Park,Mallard Duck,Native,Birds,2.0
06/01/2019 03:00:00 PM,Bronx,Orchard Beach,Gull,Native,Birds,1.0
05/31/2019 08:00:00 AM,Manhattan,Tompkins Square Park,Red-Tailed Hawk,Native,Raptors,1.0
05/31/2019 12:00:00 AM,Manhattan,Frederick Douglass Playground,Snake,Other,Terrestrial Reptile or Amphibian,1.0
05/31/2019 01:00:00 PM,Manhattan,Central Park,Snapping Turtle,Native,Terrestrial Reptile or Amphibian,1.0
05/10/2019 04:30:00 PM,Brooklyn,Bartel-Pritchard Square,Raccoon,Domestic,Small Mammals-RVS,1.0
05/31/2019 01:00:00 PM,Manhattan,Central Park,Snapping Turtle,Native,Terrestrial Reptile or Amphibian,1.0
05/27/2019 10:00:00 AM,Staten Island,Blue Heron Park,Snapping Turtle,Native,"Rare, Endangered, Dangerous",1.0
05/26/2019 11:00:00 AM,Brooklyn,Sunset Park,Opossum,Native,Small Mammals-non RVS,1.0
05/25/2019 11:00:00 AM,Brooklyn,Bushwick Inlet Park,Canada Goose,Native,Birds,1.0
05/23/2019 02:00:00 PM,Bronx,Harding Park,Rooster,Domestic,Domestic,2.0
05/24/2019 02:30:00 PM,Brooklyn,Prospect Park,Mallard Duck,Native,Birds,2.0
05/22/2019 09:30:00 AM,Brooklyn,Dyker Beach Park,Raccoon,Native,Small Mammals-RVS,1.0
05/23/2019 12:00:00 PM,Manhattan,Central Park,Red-Eyed Vireo,Native,Birds,1.0
05/23/2019 09:30:00 AM,Manhattan,Central Park,Turtle,Other,Terrestrial Reptile or Amphibian,1.0
05/22/2019 12:45:00 PM,Manhattan,Inwood Hill Park,Squirrel,Native,Small Mammals-non RVS,1.0
05/22/2019 02:50:00 PM,Queens,Kissena Park,Snapping Turtle,Native,Marine Reptiles,1.0
05/22/2019 02:00:00 PM,Manhattan,Central Park,American Robin,Native,Birds,1.0
05/20/2019 11:40:00 AM,Staten Island,Allison Pond Park,Snapping Turtle,Native,Marine Reptiles,1.0
05/20/2019 11:00:00 AM,Staten Island,Willowbrook Park,Domestic Duck,Domestic,Domestic,5.0
